category,short_description
SPORTS,he also did it back in 2004 when carolina matched up against new england in super bowl xxxviii
SPORTS,the rivalry between the two sides began to intensify as the game reached the hour mark referee andre marriner issuing five
POLITICS,with undercounted communities receiving less than their fair share of public funds there will be undue economic pressure in rural communities many of which are already struggling
SPORTS,the super bowl mvp chats with a childhood friend about his unusual journey from nfl backup to star to backup again
POLITICS,with donald trump and texas sen ted cruz seemingly positioned to fight it out for the republican presidential nomination
SPORTS,the greatests indeed
POLITICS,have you been following everything that happened this week
POLITICS,forts populist bid drew attention to challenges facing the citys working class
SPORTS,there was one clemson fan who managed to stand out among the enormous amount of signs during espns college gameday on
POLITICS,images from school walkouts across the country
SPORTS,jayson tatum made a layup at the buzzer on a pass from marcus smart to give the boston celtics a dramatic 115114 victory over the brooklyn nets in the game 1 of their firstround playoff series
POLITICS,making sure the camera sees all the bills one person remarked of footage showing the presidents offering at a las vegas church
POLITICS,they deliberately set up their own conference at the same resort where the fed is meeting
SPORTS,in the 72nd minute the 28yearold portuguese attacker was running onto a pass from angel di maria in the penalty area but
SPORTS,the giants wide receiver will have to sit against the vikings
SPORTS,the new york times report comes on the heels of two lawsuits from other teams cheerleaders alleging discriminatory treatment
SPORTS,ht to the big lead perhaps the sideline scuffle sparked something for the wildcats as they bounced back scoring 21 straight
POLITICS,trumps white house doctor spent an hour taking questions tuesday about the presidents excellent health
SPORTS,dab on em betty
SPORTS,ok vin scully we get it you are the mellifluous master of baseball announcing and no moment is too mundane to be made
SPORTS,all that was good has come crashing down now that manager david moyes has got the sack before he even made it through a single season
POLITICS,its a message to bernie supporters still mulling over their options
POLITICS,democrats desperately want to get back control of the republicancontrolled senate
SPORTS,did you guess
SPORTS,so many close calls
SPORTS,fairley was the third lions player from the 2010 draft to be arrested and charged with possession of marijuana this offseason
SPORTS,life is going pretty well for both lebron and steph while living in two very different worlds both of these talented basketball stars have now garnered the attention of the entire world and there is no denying either of their talents
POLITICS,another twitter user suggested the president simply confused americas national anthem with russias
SPORTS,thats a lot of victories
POLITICS,nearly twothirds still say theyre not making enough money to live comfortably
SPORTS,rip to the greatest
SPORTS,this highlight might haunt scrantonwilkes barre railriders catcher jeff farnham for a little while tim beckham of triple
POLITICS,twitter loved his happy message to the couple
POLITICS,summer zervos alleges trump publicly maligned her after she accused him of sexual assault
SPORTS,and the video is now going viral
POLITICS,washington ap  the pentagon says the united states hit islamic state group targets in iraq and syria with 17 airstrikes
SPORTS,dozens of women have accused former usa gymnastics doctor larry nassar of sexual assault many while at the texas training center
